Arabic,Transliteration,English
الله,Allah,Allah
رب,Rabb,Lord
قال,Qala,Said/He said
ما,Ma,What/Not
من,Man,Who/Whoever
من,Min,From
في,Fi,In
على,Ala,On/Upon
الى,Ila,To/Towards
لا,La,No/Not
ان,Inna,Indeed/Truly
امنوا,Amanu,They believed
يوم,Yawm,Day
ناس,Nas,People
ارض,Ard,Earth
سماء,Sama',Heaven/Sky
كتاب,Kitab,Book
قل,Qul,Say
يا ايها,Ya ayyuha,O you
هدى,Huda,Guidance
رحمة,Rahma,Mercy
عذاب,Adhab,Punishment
سبيل,Sabil,Way/Path
خير,Khayr,Good/Better
حق,Haqq,Truth/Right
رسول,Rasul,Messenger
نبي,Nabi,Prophet
صلاة,Salah,Prayer
زكاة,Zakat,Charity
صوم,Sawm,Fasting
حج,Hajj,Pilgrimage
آية,Ayah,Sign/Verse
سورة,Surah,Chapter
نور,Nur,Light
نار,Nar,Fire
جنة,Janna,Garden/Paradise
قلب,Qalb,Heart
روح,Ruh,Soul
بسم الله,Bismillah,In the name of Allah
الحمد لله,Alhamdulillah,Praise be to Allah
ان شاء الله,In sha Allah,If Allah wills
سبحان الله,Subhan Allah,Glory be to Allah
ما شاء الله,Ma sha Allah,As Allah wills
لا اله الا الله,La ilaha illa Allah,There is no god but Allah
يوم القيامة,Yawm al-Qiyamah,Day of Resurrection
في سبيل الله,Fi sabilillah,In the way of Allah
يا ايها الذين امنوا,Ya ayyuha alladhina amanu,O you who have believed
اتقوا الله,Ittaqu Allah,Fear Allah / Mindful of Allah
ان الله على كل شيء قدير,Inna Allaha ala kulli shay'in qadir,Indeed Allah is over all things competent
رب العالمين,Rabb al-Alamin,Lord of the Worlds
سبحان الله وبحمده,Subhan Allahi wa bihamdihi,Glory be to Allah and praise be to Him
جزاکم الله خیرا,Jazakum Allahu khayran,May Allah reward you with goodness
بارک الله فیکم,Barak Allahu fikum,May Allah bless you
استغفر الله,Astaghfir Allah,I seek forgiveness from Allah
لا حول ولا قوة الا بالله,La hawla wa la quwwata illa billah,There is no power nor might except with Allah
ان لله وان اليه راجعون,Inna lillahi wa inna ilayhi raji'un,Indeed we belong to Allah and indeed to Him we will return
صلوات الله عليه,Salawat Allah alayhi,May Allah's peace and blessings be upon him
عليه السلام,Alayhi as-Salam,Peace be upon him
رضي الله عنه,Radiya Allahu anhu,May Allah be pleased with him
