category,arabic,transliteration,translation,occasion
Morning,اللَّهُمَّ بِكَ أَصْبَحْنَا وَبِكَ أَمْسَيْنَا وَبِكَ نَحْيَا وَبِكَ نَمُوتُ وَإِلَيْكَ النُّشُورُ,Allāhumma bika aṣbaḥnā wa bika amsaynā wa bika naḥyā wa bika namūtu wa ilayka n-nushūr,"O Allah, by You we enter the morning and by You we enter the evening, by You we live and by You we die, and unto You is the resurrection.",Morning remembrance
Morning,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ,Aṣbaḥnā wa aṣbaḥa l-mulku lillāh,"We have entered a new day and the kingdom belongs to Allah.",Morning remembrance
Evening,اللَّهُمَّ بِكَ أَمْسَيْنَا وَبِكَ أَصْبَحْنَا وَبِكَ نَحْيَا وَبِكَ نَمُوتُ وَإِلَيْكَ الْمَصِيرُ,Allāhumma bika amsaynā wa bika aṣbaḥnā wa bika naḥyā wa bika namūtu wa ilayka l-maṣīr,"O Allah, by You we enter the evening and by You we enter the morning, by You we live and by You we die, and unto You is the return.",Evening remembrance
Before Eating,بِسْمِ اللهِ,Bismillāh,In the name of Allah,Before meals
After Eating,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنَا وَسَقَانَا وَجَعَلَنَا مُسْلِمِينَ,Alḥamdu lillāhi lladhī aṭʿamanā wa saqānā wa jaʿalanā muslimīn,Praise be to Allah who has fed us and given us drink and made us Muslims,After meals
Entering Home,اللَّهُمَّ إِنِّي أَسْأَلُكَ خَيْرَ الْمَوْلَجِ وَخَيْرَ الْمَخْرَجِ,Allāhumma innī asʾaluka khayra l-mawlaji wa khayra l-makhraji,"O Allah, I ask You for the best entering and the best exiting",Entering home
Leaving Home,بِسْمِ اللَّهِ تَوَكَّلْتُ عَلَى اللَّهِ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ,Bismillāh tawakkaltu ʿalá llāh wa lā ḥawla wa lā quwwata illā billāh,"In the name of Allah, I place my trust in Allah, there is no might nor power except with Allah",Leaving home
Before Sleep,بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا,Bismika llāhumma amūtu wa aḥyā,"In Your name O Allah, I die and I live",Before sleep
Waking Up,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,Alḥamdu lillāhi lladhī aḥyānā baʿda mā amātanā wa ilayhi n-nushūr,Praise is to Allah who gave us life after death and unto Him is the resurrection,Upon waking
Travel,سُبْحَانَ الَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ وَإِنَّا إِلَى رَبِّنَا لَمُنْقَلِبُونَ,Subḥāna lladhī sakhkhara lanā hādhā wa mā kunnā lahu muqrinīn wa innā ilā rabbinā la-munqalibūn,"Glory to Him who has subjected this to us, and we could never have it by our efforts. Surely, unto our Lord we are returning.",Starting a journey
Travel,اللَّهُمَّ إِنَّا نَسْأَلُكَ فِي سَفَرِنَا هَذَا الْبِرَّ وَالتَّقْوَى,Allāhumma innā nasʾaluka fī safarinā hādhā l-birra wa t-taqwā,"O Allah, we ask You on this journey for goodness and piety",During travel
Seeking Knowledge,اللَّهُمَّ انْفَعْنِي بِمَا عَلَّمْتَنِي وَعَلِّمْنِي مَا يَنْفَعُنِي,Allāhumma infaʿnī bimā ʿallamtanī wa ʿallimnī mā yanfaʿunī,"O Allah, benefit me with what You have taught me and teach me what will benefit me",Seeking knowledge
Entering Masjid,اللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ,Allāhumma ftaḥ lī abwāba raḥmatik,"O Allah, open for me the doors of Your mercy",Entering mosque
Leaving Masjid,اللَّهُمَّ إِنِّي أَسْأَلُكَ مِنْ فَضْلِكَ,Allāhumma innī asʾaluka min faḍlik,"O Allah, I ask You of Your bounty",Leaving mosque
Gratitude,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Alḥamdu lillāhi rabbi l-ʿālamīn,Praise be to Allah Lord of the worlds,Expressing gratitude
Seeking Forgiveness,أَسْتَغْفِرُ اللهَ وَأَتُوبُ إِلَيْهِ,Astaghfiru llāha wa atūbu ilayh,I seek Allah's forgiveness and repent to Him,Seeking forgiveness
Difficulty,حَسْبُنَا اللهُ وَنِعْمَ الْوَكِيلُ,Ḥasbunā llāhu wa niʿma l-wakīl,Allah is sufficient for us and He is the best disposer of affairs,In times of difficulty
Protection,أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ,Aʿūdhu bi-kalimāti llāhi t-tāmmāti min sharri mā khalaqa,I seek refuge in the perfect words of Allah from the evil of what He has created,Seeking protection
Rain,اللَّهُمَّ صَيِّبًا نَافِعًا,Allāhumma ṣayyiban nāfiʿan,"O Allah, beneficial rain",When it rains
Success,رَبِّ أَعِنِّي وَلَا تُعِنْ عَلَيَّ,Rabbi aʿinnī wa lā tuʿin ʿalayy,"O my Lord, help me and do not help against me",Seeking success
